@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 {0,1,2,3}

@data
877,'2022/02/21 23:49:43:512',4,0.342311,0.369657,0.377104,0.189325,0.440188,0.04229,0.385023,0.255228,0.369194,0.251514,0.350838,0.039712,1
878,'2022/02/21 23:49:43:611',4,0.335789,0.371245,0.370628,0.191496,0.43152,0.04132,0.37685,0.254337,0.362353,0.248717,0.342833,0.040889,1
879,'2022/02/21 23:49:43:710',4,0.332522,0.372125,0.365716,0.194261,0.428661,0.04416,0.373178,0.255597,0.358657,0.249081,0.33941,0.041654,1
880,'2022/02/21 23:49:43:810',4,0.332483,0.374108,0.365337,0.19944,0.428341,0.045842,0.374181,0.258623,0.359192,0.257138,0.337576,0.044646,1
881,'2022/02/21 23:49:43:910',4,0.333948,0.372203,0.368978,0.196937,0.430477,0.045118,0.375984,0.25871,0.36016,0.257664,0.340803,0.04626,1
882,'2022/02/21 23:49:44:009',4,0.329689,0.37018,0.364266,0.192591,0.424671,0.039491,0.370025,0.255876,0.35487,0.247712,0.335851,0.04139,1
883,'2022/02/21 23:49:44:108',4,0.324113,0.368748,0.356993,0.192518,0.418704,0.037663,0.365054,0.250678,0.349658,0.242722,0.329195,0.038362,1
884,'2022/02/21 23:49:44:209',4,0.326047,0.372029,0.358626,0.196506,0.421212,0.041158,0.369129,0.253285,0.351674,0.25627,0.329893,0.040347,1
885,'2022/02/21 23:49:44:308',4,0.327837,0.37136,0.357421,0.192906,0.423928,0.041135,0.371282,0.249801,0.354197,0.249414,0.331647,0.042054,1
886,'2022/02/21 23:49:44:402',4,0.325325,0.36885,0.355892,0.189293,0.420258,0.037002,0.365861,0.250084,0.349471,0.247582,0.32969,0.037389,1
887,'2022/02/21 23:49:44:501',4,0.320013,0.369379,0.351131,0.194785,0.414652,0.038432,0.359397,0.251578,0.344518,0.242631,0.32343,0.038869,1
888,'2022/02/21 23:49:44:600',4,0.315077,0.369766,0.344583,0.193816,0.408166,0.039266,0.353434,0.252829,0.337959,0.243003,0.317745,0.03824,1
